BuyEV,PriceBudgetRatio,range,HomeSlowChgWalkTime,WorkSlowChgWalkTime,FastChgTime,TownToFastChgDriveTime,HwyFastChgDistance,gender,race,state,license,edu,employment,hsincome,hhsize,housit,residence,move,all_car,new_car,ev,new_ev,home_parking,hp2,hp3,hp4,hp5,hp6,HomeChgAvai,work_parking,WorkChgAvai,buycar,zipcode,dmileage,long_dist,gascost,age,used_car_owner,used_ev_owner,used,NextCarBudget,PopDensity,orphan,ev_owner,priceshow,zip_median_home_value,state_elec_price,state_high_temp,state_precip
0,0.7,100,5,2,5,15,no,1,White,Florida,Yes,6,1,3,1,2,5,1,1,0,0,0,,,,Assigned parking space,,,2,2,2,1,32953,20,0,40,65,1,0,0,30000,705.4437,1,0,21000,184300,11.37,81.9,54.4
1,0.7,200,1,0,30,10,50,0,White,Florida,Yes,3,2,3,3,1,1,1,1,0,0,0,,,Driveway or carport,,,,2,1,2,3,33948,35,3,140,29,1,0,1,10000,1230.634,1,0,7000,126600,11.37,81.9,54.4
1,0.85,200,3,1,15,15,30,1,White,South Dakota,Yes,4,2,1,2,2,5,1,1,0,0,0,,,,Assigned parking space,,,2,2,3,1,57042,5,1,20,29,1,0,1,10000,41.008,1,0,8500,113700,12.39,57.5,21.2
1,1,200,20,20,30,15,50,1,Black or African American,North Carolina,Yes,5,1,4,3,1,1,2,3,1,1,0,,Detached garage,Driveway or carport,,,,2,2,2,3,27408,40,4,140,35,1,1,0,40000,2268.229,1,1,40000,211600,11.24,70.5,50.8
1,0.7,400,10,3,60,15,no,1,White,Ohio,Yes,4,1,2,2,1,1,2,2,0,0,0,,,Driveway or carport,,,,2,2,2,2,43935,10,0,50,40,1,0,1,20000,456.9039,1,0,14000,73000,12.64,61.7,41.1
1,1,400,0,2,5,10,70,0,White,Connecticut,Yes,3,3,1,4,2,1,1,2,0,1,1,Attached garage,,,Assigned parking space,,,1,2,3,2,6269,5,0,100,21,1,0,1,20000,7700.036,2,1,20000,280834,21.62,60,48.7
1,0.85,400,2,3,30,15,70,1,White,California,Yes,3,1,3,1,2,5,1,1,1,0,0,Attached garage,,,,,,1,1,1,1,90069,20,1,60,44,0,0,0,30000,9688.241,2,0,25500,696700,19.9,71.5,22.3
0,1,100,3,1,60,15,50,0,Asian,New York,Yes,3,2,3,4,2,5,1,1,1,0,0,,,,Assigned parking space,,,2,2,2,1,11801,25,2,300,32,0,0,0,30000,5961.501,1,0,30000,395800,19.3,55.9,43.5
1,1,100,1,2,60,10,30,1,White,Florida,Yes,6,1,3,1,2,5,3,1,1,0,0,Attached garage,,,Assigned parking space,,,1,2,1,3,33602,80,3,90,42,0,0,1,20000,4517.067,2,0,20000,217800,11.37,81.9,54.4
1,0.85,100,0,3,15,15,no,1,White,Illinois,Yes,4,3,2,3,4,4,1,1,0,0,0,Attached garage,,,,,,2,2,2,1,61554,15,0,70,52,1,0,1,20000,626.4748,1,0,17000,102100,12.56,62.7,40.7
1,0.85,400,5,0,5,5,30,1,Black or African American,Alaska,Yes,4,2,1,2,2,3,3,1,0,0,0,Attached garage,,,,,,1,5,1,3,99518,15,0,70,42,1,0,1,5000,2707.288,2,0,4250,234700,22.54,35.5,37.6
1,1,400,2,5,15,10,50,0,White,Tennessee,Yes,5,1,2,1,1,2,3,1,1,0,0,Attached garage,,,,,,3,5,3,3,37205,40,1,60,51,0,0,0,25000,1655.559,3,0,25000,418800,10.79,69.4,55.1
0,0.85,400,20,10,30,15,30,0,Black or African American,Virginia,Yes,7,1,5,3,4,1,2,1,1,0,0,,,Driveway or carport,,,,2,2,2,2,23234,5,0,60,35,0,0,0,25000,2179.17,1,0,21250,161000,12.4,66.9,45.8
0,0.7,200,20,5,15,5,70,0,Black or African American,North Carolina,Yes,6,2,2,3,1,1,2,2,0,0,0,,,Driveway or carport,,,,2,2,2,2,27909,40,2,110,41,1,0,1,15000,179.3692,1,0,10500,171700,11.24,70.5,50.8
1,0.85,300,1,3,5,no,70,0,Another race,Texas,Yes,5,2,6,2,1,1,1,1,0,0,0,Attached garage,,,,,,2,2,1,1,78626,15,0,40,35,1,0,1,25000,279.3877,1,0,21250,149900,11.36,78.1,28.6
0,0.85,400,3,1,5,no,50,1,White,Arizona,Yes,5,1,3,1,1,1,2,1,0,0,0,Attached garage,,Driveway or carport,,On street,,1,2,1,1,85749,30,2,80,29,1,0,1,30000,316.7512,2,0,25500,366200,13.16,75.3,11.6
0,1,200,2,2,5,5,50,0,White,Arizona,Yes,3,1,2,2,2,5,1,1,0,0,0,,,Driveway or carport,,,,2,2,2,1,85745,30,4,140,53,1,0,1,15000,549.5526,1,0,15000,192500,13.16,75.3,11.6
1,0.85,300,20,0,15,5,70,1,White,California,Yes,3,4,1,1,1,1,2,1,0,0,0,Attached garage,,,,,,2,5,2,2,95623,15,0,50,54,1,0,1,15000,72.70715,1,0,12750,338300,19.9,71.5,22.3
0,0.85,100,5,0,30,5,50,0,White,Michigan,Yes,5,6,3,3,1,1,2,3,0,0,0,Attached garage,,Driveway or carport,,,barn/outbuilding,2,5,2,3,49321,15,0,120,37,1,0,1,10000,629.0012,1,0,8500,142700,16.07,55,33.9
1,0.85,400,20,10,30,15,30,1,White,Illinois,Yes,4,1,2,4,1,1,2,3,1,1,0,,Detached garage,Driveway or carport,,,,2,2,1,1,61327,15,1,160,39,1,1,1,20000,35.96151,1,1,17000,158600,12.56,62.7,40.7
1,0.85,400,10,20,30,5,no,0,White,Washington,Yes,4,1,2,1,1,6,2,2,0,0,0,,,Driveway or carport,,,,2,2,2,1,98382,70,0,130,62,1,0,1,20000,156.4158,1,0,17000,251000,9.79,57,43.2
1,0.85,100,2,3,30,5,30,1,Black or African American,Ohio,Yes,5,1,3,3,2,4,2,1,1,0,0,,,,Assigned parking space,,,2,2,1,3,44143,20,1,80,34,0,0,0,15000,1741.753,1,0,12750,189900,12.64,61.7,41.1
1,0.7,200,10,5,30,15,no,1,White,Pennsylvania,Yes,3,1,3,2,1,1,3,2,1,1,1,Attached garage,,,,,,1,1,1,2,17104,25,1,90,23,1,0,0,50000,7808.694,2,1,35000,79600,14.38,59.7,45
0,1,200,20,0,30,5,no,0,White,Minnesota,Yes,3,6,3,5,1,1,3,2,0,0,0,Attached garage,,,,,,2,5,2,1,55912,15,4,160,35,1,0,1,10000,151.4204,1,0,10000,99800,14.09,51.9,28.6
1,1,300,10,5,60,no,70,1,White,Minnesota,Yes,4,1,8,2,1,1,2,2,0,0,0,Attached garage,,,,,,1,2,1,1,55076,25,1,90,56,1,0,0,40000,2340.89,2,0,40000,189800,14.09,51.9,28.6
0,0.7,100,5,20,60,no,30,0,White,Washington,Yes,4,4,1,2,2,2,1,1,0,0,0,,,Driveway or carport,,,,2,5,2,3,97833,15,4,150,62,1,0,1,10000,10.16002,1,0,7000,222100,9.79,57,43.2
1,0.7,300,10,3,15,10,no,1,White,Kansas,Yes,5,1,4,4,1,1,3,1,1,0,0,Attached garage,,,,,,1,2,2,1,67220,25,1,80,29,0,0,0,40000,1933.624,2,0,28000,135300,11.56,67.5,29
0,0.85,400,10,20,30,5,no,1,White,New York,Yes,6,1,5,2,1,1,2,3,1,0,0,,,Driveway or carport,,,,2,2,2,1,13501,20,4,180,37,1,0,1,40000,4405.881,1,0,34000,94800,19.3,55.9,43.5
1,1,300,0,1,15,5,50,1,White,Florida,Yes,5,1,2,1,2,1,2,1,0,0,0,,,Driveway or carport,,,,1,2,2,2,32303,5,1,50,37,1,0,1,10000,1334.357,2,0,10000,150700,11.37,81.9,54.4
0,1,200,20,5,30,no,50,0,Asian,Massachusetts,Yes,5,1,5,3,1,1,3,1,1,0,0,Attached garage,,Driveway or carport,,,,2,2,2,1,2134,50,3,300,27,0,0,0,20000,16211.96,1,0,20000,361900,21.11,58.8,48.6
1,1,400,0,0,5,no,70,1,White,Michigan,Yes,2,2,3,5,2,1,3,1,1,0,0,,,Driveway or carport,,,,1,2,3,3,48442,35,1,110,40,0,0,1,10000,242.1113,2,0,10000,140500,16.07,55,33.9
0,0.7,200,1,20,15,no,no,1,White,Illinois,Yes,5,1,3,1,1,1,2,1,1,0,0,,,,,On street,,2,4,2,2,60641,25,0,50,24,0,0,0,20000,17730.46,1,0,14000,265000,12.56,62.7,40.7
1,0.7,400,0,2,30,15,30,0,White,Tennessee,Yes,3,2,1,2,2,4,1,1,0,0,0,,,Driveway or carport,,,,2,2,2,1,38572,15,2,90,28,1,0,1,5000,68.84061,1,0,3500,114000,10.79,69.4,55.1
1,0.85,200,1,0,30,no,no,1,White,Texas,Yes,3,1,2,1,1,1,1,1,1,1,1,Attached garage,,,,,,2,2,2,2,75071,30,2,80,23,0,0,1,30000,458.0035,1,1,25500,174700,11.36,78.1,28.6
0,0.85,100,2,20,60,10,no,0,White,Arizona,Yes,5,1,3,2,1,1,2,2,2,0,0,Attached garage,,,,,,2,2,2,2,85381,50,1,60,57,0,0,0,30000,3654.974,1,0,25500,191000,13.16,75.3,11.6
1,0.85,400,10,20,30,5,no,1,Asian,Texas,Yes,5,1,2,1,2,5,2,1,1,0,0,,Detached garage,,,,,1,2,2,1,78726,20,1,120,29,0,0,0,15000,1207.215,2,0,12750,344700,11.36,78.1,28.6
1,1,100,1,5,15,5,70,1,White,California,Yes,5,1,2,2,2,1,3,1,0,0,0,Attached garage,,,,,,2,2,2,1,93610,20,1,100,37,1,0,1,25000,87.5527,1,0,25000,155600,19.9,71.5,22.3
